ZERO	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserActionCard.kt	25	public	fun	BrowserActionCard	@Composable
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt	182	private	fun	BrowserStatusBar	@Composable	REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|111
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt	265	private	fun	BrowserTabChip	@Composable	REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|241
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt	302	private	fun	StatusDivider	@Composable	REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|214,feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|222,feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|230,feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|250,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|132,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|142,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|152,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatWorkbenchPanels.kt|169
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt	316	private	fun	DebugPausedBanner	@Composable	REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|138
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt	378	private	fun	BrowserStatusItem	@Composable	REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|207,feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|216,feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|224,feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|233,feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|251
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt	419	private	fun	BrowserUrlBar	@Composable	REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserScreen.kt|164
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserViewModel.kt	344	private	class	BrowserCoreState		REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserViewModel.kt|58
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserViewModel.kt	352	private	class	BrowserPanelState		REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserViewModel.kt|68
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserViewModel.kt	368	public	class	BrowserUiState		REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserViewModel.kt|71,feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserViewModel.kt|78,feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserViewModel.kt|93,feature\browser\src\main\java\top\wkbin\taixu\ui\browser\BrowserViewModel.kt|385
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\network\NetworkTimelineSheet.kt	111	private	fun	RequestList	@Composable	REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\network\NetworkTimelineSheet.kt|95
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\network\NetworkTimelineSheet.kt	128	private	fun	RequestRow	@Composable	REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\network\NetworkTimelineSheet.kt|122
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\network\NetworkTimelineSheet.kt	190	private	fun	NetworkDetailBody	@Composable	REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\network\NetworkTimelineSheet.kt|76
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\network\NetworkTimelineSheet.kt	214	private	fun	HookHitList	@Composable	REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\network\NetworkTimelineSheet.kt|100
SAMEFILE	feature\browser\src\main\java\top\wkbin\taixu\ui\browser\network\NetworkTimelineSheet.kt	277	private	fun	methodColor		REFS=feature\browser\src\main\java\top\wkbin\taixu\ui\browser\network\NetworkTimelineSheet.kt|147
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatDialogs.kt	365	internal	fun	RenameSessionDialog	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatDialogs.kt|319
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatDialogs.kt	661	internal	fun	ProviderModelPickerDialog	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatDialogs.kt|436
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatDialogs.kt	786	internal	fun	AddModelDialog	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatDialogs.kt|426
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatDialogs.kt	994	internal	fun	WorkspaceOption	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatDialogs.kt|921,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatDialogs.kt|928
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	294	private	fun	RewindScopeOption	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|264,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|270,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|276
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	332	internal	fun	ImageThumbnail	@Composable	REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|121
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	528	private	val	MAX_LIVE_TEXT_CHARS		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|453
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	530	private	val	generatedImageFlagCache		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|384,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|386
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	538	private	val	taskPlanCache		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|541,feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|556
SAMEFILE	feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt	540	private	fun	extractTaskPlanSteps		REFS=feature\chat\src\main\java\top\wkbin\taixu\ui\chat\ChatMessageBubbles.kt|407
